1.1v,1.1i,1.2v,1.2i,1.3v,1.3i,1.4v,1.4i,1.5v,1.5i,1.6v,1.6i,1.7v,1.7i,1.8v,1.8i,1.9v,1.9i,2.0v,2.0i,,,,,
1.100398332,1.25E-08,1.114098759,6.03E-10,1.113943695,7.25E-10,1.103773482,5.38E-10,1.110499614,-2.18E-10,1.078983676,1.27E-08,1.066600846,1.38E-10,1.085633827,3.22E-10,1.062293238,1.29E-10,1.056192245,1.07E-10,,,,,
1.105567697,4.47E-10,1.120248659,8.56E-10,1.117693859,1.31E-08,1.108441189,-2.31E-08,1.115976519,8.44E-10,1.084544302,2.79E-10,1.069168788,1.53E-10,1.090485888,3.90E-10,1.065003251,1.44E-10,1.059014697,1.19E-10,,,,,
1.110737063,1.10E-08,1.125783568,1.07E-09,1.122608647,1.03E-09,1.117776603,1.10E-07,1.121453423,1.11E-09,1.089548866,1.13E-08,1.07173673,1.69E-10,1.095337948,2.38E-08,1.070423275,1.23E-08,1.064659601,1.20E-08,,,,,
1.115906428,6.71E-10,1.131318478,1.33E-09,1.127523435,9.50E-09,1.122255263,1.19E-09,1.126930328,1.38E-09,1.094693694,4.16E-10,1.076872614,1.20E-08,1.100190009,5.89E-10,1.0758433,2.34E-10,1.070304506,1.97E-10,,,,,
1.121075794,2.27E-08,1.136853388,1.65E-09,1.132857702,1.53E-09,1.126286057,-8.80E-08,1.132407233,1.72E-09,1.099838523,8.60E-09,1.082008497,2.68E-10,1.104556864,-7.56E-09,1.080721322,7.46E-09,1.07538492,8.41E-09,,,,,
1.126245159,1.02E-09,1.142388297,2.06E-09,1.138191968,1.88E-09,1.134347646,-8.20E-08,1.137884137,2.13E-09,1.104983352,6.23E-10,1.086630793,6.45E-09,1.110344554,8.08E-10,1.085892637,3.46E-10,1.080558209,2.95E-10,,,,,
1.131414525,1.80E-08,1.147923207,2.56E-09,1.143526235,2.32E-09,1.142409235,3.00E-07,1.143361042,2.65E-09,1.11012818,1.99E-08,1.091794076,3.91E-10,1.116132244,1.07E-09,1.091063951,1.93E-08,1.085731497,7.88E-09,,,,,
1.136581299,1.52E-09,1.153458117,3.19E-09,1.148860501,2.87E-09,1.146223745,3.40E-09,1.148837947,3.29E-09,1.115273009,9.44E-10,1.096957359,2.35E-08,1.121919935,1.35E-09,1.095972276,5.23E-10,1.090904786,4.43E-10,,,,,
1.141748074,1.82E-09,1.158993026,3.97E-09,1.154194767,3.55E-09,1.149656805,3.04E-09,1.154314851,9.41E-08,1.120417838,1.39E-08,1.10180995,5.94E-10,1.127707625,1.70E-09,1.100880601,6.74E-10,1.096078074,1.52E-08,,,,,
1.146914849,2.27E-09,1.164527936,1.17E-07,1.159529034,9.42E-08,1.153089864,3.46E-09,1.159791756,5.27E-09,1.125587595,1.41E-09,1.106177282,-2.21E-09,1.133495315,2.13E-09,1.106275335,7.66E-10,1.101251362,6.72E-10,,,,,
1.152081624,2.78E-09,1.170062846,6.39E-09,1.1648633,5.60E-09,1.155672223,3.89E-09,1.164385139,6.05E-09,1.130757353,1.69E-09,1.111619489,8.01E-10,1.139283006,2.68E-09,1.111670069,9.49E-10,1.106424651,1.29E-08,,,,,
1.157248399,3.41E-09,1.174636359,-5.00E-08,1.169457185,-3.66E-08,1.157996347,4.29E-09,1.168978522,7.32E-09,1.13592711,2.10E-09,1.117061697,1.06E-09,1.145070696,3.37E-09,1.117064804,1.18E-09,1.111555914,1.01E-09,,,,,
1.162415174,4.19E-09,1.183783386,2.92E-07,1.175568959,1.05E-07,1.16032047,4.70E-09,1.173571905,8.73E-09,1.141096867,2.58E-09,1.122503905,1.31E-09,1.150858386,4.24E-09,1.122459538,1.45E-09,1.116687178,1.39E-08,,,,,
