0.1v,0.1i,0.2v,0.2i,0.3v,0.3i,0.4v,0.4i,0.5v,0.5i,0.6v,0.6i,0.7v,0.7i,0.8v,0.8i,0.9v,0.9i,1.0v,1.0i
1.78209391,3.96E-04,1.78209391,3.96E-04,1.820527642,4.13E-04,1.871169426,4.15E-04,1.822788149,4.38E-04,1.901857304,4.22E-04,1.999499,4.45E-04,1.807353114,4.88E-04,1.744501493,5.69E-04,1.776333094,5.13E-04
1.801665444,3.91E-04,1.801665444,3.91E-04,1.832851002,4.10E-04,1.887070917,4.22E-04,1.839851158,4.37E-04,1.919451519,4.10E-04,1.999501,4.39E-04,1.825389116,4.78E-04,1.753757728,5.53E-04,1.796678561,5.06E-04
1.819279824,3.82E-04,1.819279824,3.82E-04,1.845174362,3.92E-04,1.902972408,3.82E-04,1.856914166,4.40E-04,1.937045733,3.90E-04,1.998501,4.37E-04,1.843425118,4.04E-04,1.763013962,5.19E-04,1.817024027,4.97E-04
1.836894204,3.77E-04,1.836894204,3.77E-04,1.857497722,3.76E-04,1.918873899,3.56E-04,1.873977175,4.45E-04,1.972234163,4.37E-04,1.996500999,4.49E-04,1.861461121,4.56E-04,1.772270197,5.17E-04,1.837369494,4.87E-04
1.854508584,3.89E-04,1.854508584,3.89E-04,1.869821083,3.71E-04,1.93477539,3.92E-04,1.891040183,4.38E-04,1.999499,4.15E-04,1.992501,4.68E-04,1.879497123,4.52E-04,1.781526432,5.19E-04,1.85771496,4.81E-04
1.872122964,3.26E-04,1.872122964,3.26E-04,1.882144443,3.98E-04,1.950676881,2.69E-04,1.908103192,4.26E-04,1.999501,4.74E-04,1.984500999,4.57E-04,1.897533125,4.28E-04,1.790782667,4.96E-04,1.878060427,4.78E-04
1.889737344,3.55E-04,1.889737344,3.55E-04,1.894467803,3.78E-04,1.966578372,4.03E-04,1.9251662,4.24E-04,1.998501,4.61E-04,1.968500999,4.37E-04,1.915569127,4.34E-04,1.809295137,4.95E-04,1.898405893,4.68E-04
1.907351724,3.50E-04,1.907351724,3.50E-04,1.906791163,3.80E-04,1.982479863,3.28E-04,1.942229209,4.12E-04,1.996500999,3.75E-04,1.952501,4.21E-04,1.93360513,4.49E-04,1.827807606,4.84E-04,1.91875136,4.50E-04
1.924966104,2.80E-04,1.924966104,2.80E-04,1.919114523,3.83E-04,1.999499,3.96E-04,1.959292218,4.24E-04,1.992501,2.93E-04,1.920500999,4.29E-04,1.969677134,4.58E-04,1.846320076,4.85E-04,1.939096826,4.68E-04
1.942580485,3.36E-04,1.942580485,3.36E-04,1.943761243,3.90E-04,1.999501,4.00E-04,1.976355226,4.18E-04,1.984500999,3.45E-04,1.89724701,4.16E-04,1.999499,4.52E-04,1.864832546,4.55E-04,1.959442293,4.44E-04
1.960194865,3.26E-04,1.960194865,3.26E-04,1.968407963,3.76E-04,1.998501,3.97E-04,1.993418235,4.10E-04,1.968500999,4.25E-04,1.873993021,4.01E-04,1.999501,4.53E-04,1.883345016,4.73E-04,1.97978776,3.88E-04
