2.1v,2.1i,2.2v,2.2i,2.3v,2.3i,2.4v,2.4i,2.5v,2.5i,2.6v,2.6i,2.7v,2.7i,2.8v,2.8i,2.9v,2.9i,3.0v,3.0i
0,0,1.269225395,-3.45E-04,1.268537731,-3.41E-04,1.305980934,-3.49E-04,1.258863447,-3.27E-04,0,0,1.000500999,-3.83E-04,1.267320148,-3.18E-04,1.000500999,-2.70E-04,1.324330228,-3.31E-04
0,0,1.243684563,-3.37E-04,1.254781098,-3.36E-04,1.293010708,-3.44E-04,1.239255498,-3.18E-04,0,0,0,0,1.2467047,-3.13E-04,0,0,1.309060353,-3.23E-04
0,0,1.218143731,-3.32E-04,1.227267833,-3.93E-04,1.280040483,-3.40E-04,1.219647549,-3.16E-04,0,0,0,0,1.226089253,-3.08E-04,0,0,1.293790479,-3.17E-04
0,0,1.1926029,-3.23E-04,1.199754567,-3.29E-04,1.267070257,-3.36E-04,1.18043165,-3.10E-04,0,0,0,0,1.205473806,-3.04E-04,0,0,1.278520604,-3.13E-04
0,0,1.167062068,-3.16E-04,1.172241302,-1.29E-04,1.241129807,-3.28E-04,1.141215751,-3.01E-04,0,0,0,0,1.164242911,-5.43E-04,0,0,1.26325073,-3.08E-04
0,0,1.115980404,-3.03E-04,1.117214771,-3.01E-04,1.215189356,-3.24E-04,1.101999853,-2.93E-04,0,0,0,0,1.123012017,-2.87E-04,0,0,1.247980856,-3.04E-04
0,0,1.06489874,-2.92E-04,1.06218824,-3.21E-04,1.189248905,-3.15E-04,1.023568056,-2.75E-04,0,0,0,0,1.081781122,-2.81E-04,0,0,1.217441107,-3.86E-04
0,0,1.013817077,-2.93E-04,1.007161709,-2.63E-04,1.163308455,-3.09E-04,1.000500999,-7.71E-04,0,0,0,0,1.040550228,-2.81E-04,0,0,1.186901358,-2.93E-04
0,0,1.000500999,-3.75E-04,1.000500999,-3.00E-04,1.111427553,-9.13E-04,0,0,0,0,0,0,1.000500999,-3.31E-04,0,0,1.156361609,-2.87E-04
0,0,0,0,0,0,1.059546652,-2.87E-04,0,0,0,0,0,0,0,0,0,0,1.095282111,-2.79E-04
0,0,0,0,0,0,1.007665751,-2.80E-04,0,0,0,0,0,0,0,0,0,0,1.034202613,-2.64E-04
0,0,0,0,0,0,1.000500999,-5.35E-04,0,0,0,0,0,0,0,0,0,0,1.000500999,-0.001083926
