1v,1i,2v,2i,3v,3i,4v,4i,5v,5i,6v,6i,7v,7i,8v,8i,9v,9i,10v,10i,,,,,
1.003985591,1.64E-09,1.001442412,1.29E-11,1.001618994,1.93E-11,1.00138293,2.54E-11,1.001517383,3.17E-11,1.001729637,3.83E-11,1.001769258,4.47E-11,1.001758008,5.10E-11,1.001922657,5.77E-11,1.001942383,6.41E-11,,,,,
1.006956367,6.46E-09,1.001652095,1.30E-11,1.001862975,1.95E-11,1.00148418,2.54E-11,1.001629883,3.20E-11,1.001903336,3.86E-11,1.001951508,4.50E-11,1.001983008,5.15E-11,1.002119337,5.82E-11,1.002162824,6.47E-11,,,,,
1.012897921,2.53E-08,1.001861779,1.34E-11,1.002082559,1.99E-11,1.00158543,2.55E-11,1.001742383,3.21E-11,1.002077035,3.89E-11,1.002133758,4.54E-11,1.002185508,5.19E-11,1.002316018,5.86E-11,1.002383266,6.53E-11,,,,,
1.024781028,1.48E-09,1.002281145,1.35E-11,1.002521726,1.99E-11,1.00178793,2.57E-11,1.001854883,3.22E-11,1.002250734,3.91E-11,1.002316008,4.57E-11,1.002388008,5.23E-11,1.002512698,5.91E-11,1.002603707,6.59E-11,,,,,
1.034138045,9.73E-09,1.002700511,1.60E-10,1.002960893,4.22E-11,1.00199043,2.60E-11,1.002079883,3.24E-11,1.002424433,3.96E-11,1.002498258,4.62E-11,1.002590508,5.28E-11,1.002709379,5.96E-11,1.002824149,6.65E-11,,,,,
1.042314344,2.11E-11,1.003539243,5.74E-10,1.00340006,2.01E-10,1.00219293,2.62E-11,1.002304883,3.30E-11,1.002771831,4.00E-11,1.002680508,4.64E-11,1.002793008,5.34E-11,1.002906059,6.03E-11,1.003044591,6.70E-11,,,,,
1.048359719,3.79E-11,1.005216708,2.14E-09,1.004278394,6.45E-10,1.00239543,2.66E-11,1.002529883,3.31E-11,1.003084489,4.05E-11,1.002862758,4.67E-11,1.002995508,5.36E-11,1.00329942,6.11E-11,1.003265032,6.80E-11,,,,,
1.053599546,4.74E-11,1.008571638,8.33E-09,1.006035062,2.36E-09,1.00259793,2.66E-11,1.002754883,3.35E-11,1.003397147,4.11E-11,1.003227258,4.75E-11,1.003198008,5.41E-11,1.003653445,6.20E-11,1.003705915,6.90E-11,,,,,
1.058059946,5.75E-11,1.015281497,4.01E-09,1.009548398,9.22E-09,1.00280043,2.69E-11,1.003204883,3.41E-11,1.003709805,4.26E-11,1.003591758,4.82E-11,1.003603008,5.50E-11,1.00400747,6.29E-11,1.00410271,7.01E-11,,,,,
1.062054244,6.82E-11,1.021320371,2.64E-09,1.016575071,5.86E-10,1.00320543,2.74E-11,1.003609883,3.66E-11,1.004022463,4.23E-11,1.003956258,4.90E-11,1.004008008,5.60E-11,1.004361494,6.38E-11,1.004499505,7.13E-11,,,,,
1.065649111,7.86E-11,1.027359244,6.59E-09,1.0224902,2.52E-09,1.00361043,2.96E-11,1.004014883,3.56E-11,1.004335121,4.28E-11,1.004320758,5.12E-11,1.004413008,5.70E-11,1.004715519,6.61E-11,1.0048963,7.24E-11,,,,,
1.068884493,8.99E-11,1.032617175,3.61E-11,1.027813817,5.08E-09,1.00442043,3.00E-11,1.004419883,3.65E-11,1.004960437,4.41E-11,1.004685258,5.35E-11,1.004818008,6.01E-11,1.005423569,6.73E-11,1.005293094,7.56E-11,,,,,
1.071796336,1.02E-10,1.036919038,4.76E-11,1.032598135,4.15E-11,1.00523043,1.10E-10,1.005229883,3.81E-11,1.005585753,5.19E-11,1.005049758,5.42E-11,1.005223008,5.92E-11,1.006060813,7.53E-11,1.006086684,7.70E-11,,,,,
1.074708179,1.14E-10,1.040790715,5.68E-11,1.03664743,7.17E-11,1.00604043,6.87E-10,1.006849883,2.44E-10,1.006836385,5.22E-11,1.005778758,5.31E-11,1.005628008,6.03E-11,1.007335303,7.06E-11,1.006800915,8.82E-11,,,,,
1.077620022,1.28E-10,1.044275224,6.56E-11,1.040291795,8.27E-11,1.00766043,2.22E-09,1.008469883,2.60E-09,1.008087017,1.48E-09,1.006507758,6.35E-11,1.006438008,6.27E-11,1.008482343,2.66E-10,1.008229376,8.11E-11,,,,,
1.083443707,1.56E-08,1.047411282,7.48E-11,1.043571724,9.72E-11,1.01090043,1.03E-09,1.011709883,1.12E-09,1.010588281,5.30E-09,1.007965758,6.55E-11,1.007248008,7.96E-11,1.009629383,1.51E-09,1.009514991,3.35E-10,,,,,
1.089267393,2.15E-10,1.05054734,8.47E-11,1.046851653,1.08E-10,1.01414043,2.08E-09,1.014949883,2.10E-09,1.013089545,1.67E-09,1.009423758,2.06E-09,1.008868008,7.93E-11,1.011923464,4.68E-09,1.010800606,1.94E-09,,,,,
